version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_before,metric_after,run_file
v0,ADMIN,none,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Run baseline with live Gemini API,Baseline establishes initial routing/args accuracy before prompt/tool tuning,,"case_accuracy=0.625; tool_routing_accuracy=0.875; argument_accuracy=0.625; multiturn_accuracy=1.0; provider_error_cases=12",runs/v0_B_base_gemini_20260602T142652609775.json
v1,team,system_prompt.md,v1+pf0c107a9d7a1+t011c271ef0bb,f0c107a9d7a1,011c271ef0bb,Refine prompt for better tool routing,Prompt rõ ràng hơn sẽ cải thiện routing,0.65,0.7,runs/v1_B_base_openrouter_20260602T150316657688.json
v2,team,artifacts/tools.yaml,v2+pf0c107a9d7a1+tca829c28feeb,f0c107a9d7a1,ca829c28feeb,Add karpathy_guidelines tool,Karpathy guidelines reduce unnecessary changes,0.7,0.65,runs/v2_B_base_openrouter_20260602T153043614294.json
v3,team,system_prompt.md + artifacts/tools.yaml,v3+p4d59d05e7308+t9e07ad8b8339,4d59d05e7308,9e07ad8b8339,Clarify tool routing and tool intent to reduce wrong tool and unnecessary calls,More precise prompt and clearer tool schema will improve pass rate,0.65,0.85,runs/v3_B_base_openrouter_20260602T155059402568.json
